,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8072564601898193,0.8879002332687378,0.8436450958251953,0.9404726028442383,0.983993649482727,0.961741030216217
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.7831189632415771,0.7075884342193604,0.7378426790237427,0.8161548376083374,0.8529624342918396,0.8341528177261353
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8067901134490967,0.8902209997177124,0.8442560434341431,0.9400939345359802,0.9846898317337036,0.9618752598762512
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7822818756103516,0.709563136100769,0.7387241125106812,0.8151754140853882,0.854459822177887,0.8343554735183716
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.8079019784927368,0.8870540857315063,0.8437149524688721,0.940548300743103,0.9829046130180359,0.9612601399421692
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.783706545829773,0.7074661254882812,0.7380919456481934,0.8170766830444336,0.8516694903373718,0.8340145349502563
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.8076953887939453,0.884883463382721,0.8426424860954285,0.9415328502655029,0.9822232723236084,0.9614477157592773
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7934173345565796,0.706485390663147,0.7421759963035583,0.8382891416549683,0.8451029062271118,0.8416821956634521
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8071922063827515,0.8891959190368652,0.8440132141113281,0.9410027265548706,0.9828349947929382,0.9614640474319458
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7916187047958374,0.7082128524780273,0.7424924373626709,0.8368023633956909,0.8472672700881958,0.842002272605896
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.8096388578414917,0.8865194916725159,0.8444796204566956,0.9419872760772705,0.9813792109489441,0.9612798690795898
11,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test_ext,0.7945120334625244,0.7062920331954956,0.7425207495689392,0.8389180898666382,0.8447144031524658,0.8418062925338745
12,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test,0.8089091181755066,0.8857375383377075,0.8436811566352844,0.9423659443855286,0.9812317490577698,0.9614062309265137
13,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test_ext,0.7946787476539612,0.6955845952033997,0.736499547958374,0.8388462662696838,0.8238997459411621,0.8313058018684387
14,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test,0.8079563975334167,0.8863078355789185,0.8433027267456055,0.9425931572914124,0.9813909530639648,0.9616008400917053
15,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test_ext,0.7950100898742676,0.697390079498291,0.73783940076828,0.8398191332817078,0.8242529630661011,0.8319632411003113
16,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test,0.8112293481826782,0.8866808414459229,0.8454709649085999,0.9428203701972961,0.9803134202957153,0.9612014293670654
17,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test_ext,0.7960333824157715,0.6946732997894287,0.7364034056663513,0.84004807472229,0.823922336101532,0.8319070339202881
18,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test,0.8095270395278931,0.8791605234146118,0.8414019346237183,0.943426251411438,0.9775562882423401,0.960188090801239
19,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test_ext,0.8045306205749512,0.6870503425598145,0.735066831111908,0.8501257300376892,0.8047605752944946,0.8268213868141174
