,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8072539567947388,0.8883309364318848,0.8437820672988892,0.9404726028442383,0.9836039543151855,0.9615548253059387
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.7832198143005371,0.7078225612640381,0.7380534410476685,0.8165581822395325,0.852921724319458,0.8343439102172852
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8071858882904053,0.8895276784896851,0.844230055809021,0.940169632434845,0.9846910238265991,0.9619154334068298
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7825958728790283,0.7092969417572021,0.7387241125106812,0.8154634833335876,0.8544521331787109,0.8345026969909668
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.8079577684402466,0.8870177268981934,0.8437267541885376,0.9407755136489868,0.9827531576156616,0.9613062739372253
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.7845220565795898,0.7074562311172485,0.7384275197982788,0.8174799680709839,0.851016640663147,0.8339112401008606
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.8073011636734009,0.8875212073326111,0.8434293866157532,0.9414571523666382,0.9819890856742859,0.9612960815429688
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7925426959991455,0.7069621086120605,0.7421732544898987,0.8380603790283203,0.8451646566390991,0.8415974974632263
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8072259426116943,0.8866745829582214,0.8430713415145874,0.9411541819572449,0.9822939038276672,0.9612841010093689
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7924160361289978,0.7073919773101807,0.7422745227813721,0.8376029133796692,0.8467051982879639,0.8421294689178467
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.8101968169212341,0.8861417770385742,0.8447104692459106,0.941684365272522,0.9813733100891113,0.9611192941665649
11,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test_ext,0.7944819927215576,0.705887496471405,0.7422156929969788,0.838803768157959,0.844550609588623,0.8416673541069031
12,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test,0.808441698551178,0.886038064956665,0.8435558080673218,0.9419872760772705,0.9818440079689026,0.9615027904510498
13,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test_ext,0.7940943837165833,0.6963276863098145,0.7366414070129395,0.8374155759811401,0.825603723526001,0.8314676880836487
14,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test,0.8081614971160889,0.8848046660423279,0.8428472280502319,0.9426689147949219,0.9810056686401367,0.9614552855491638
15,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test_ext,0.7953425049781799,0.6966201066970825,0.737446129322052,0.839704692363739,0.823631763458252,0.8315905928611755
16,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test,0.8112273216247559,0.885195255279541,0.8448949456214905,0.9428203701972961,0.9800047278404236,0.9610530138015747
17,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test_ext,0.7960568070411682,0.6942309141159058,0.7361127734184265,0.8401625156402588,0.8233413696289062,0.831666886806488
18,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test,0.8094307780265808,0.8849461078643799,0.843653678894043,0.9429718255996704,0.9799307584762573,0.9610961079597473
19,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test_ext,0.8038915991783142,0.6898295283317566,0.7367244958877563,0.8482545018196106,0.8071893453598022,0.8272125720977783
20,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test,0.8094498515129089,0.8821102380752563,0.8425000309944153,0.9438806176185608,0.9770303964614868,0.9601694941520691
21,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test_ext,0.8043050765991211,0.6884222626686096,0.7360762357711792,0.8517045974731445,0.8034975528717041,0.8268990516662598
22,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test,0.8119474053382874,0.8811588883399963,0.843615710735321,0.9435019493103027,0.9780185222625732,0.9604502320289612
23,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test_ext,0.8064029216766357,0.687699556350708,0.7362111806869507,0.8498918414115906,0.805564820766449,0.8271348476409912
