,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8067885637283325,0.888536810874939,0.8436194062232971,0.9400939345359802,0.9846117496490479,0.9618379473686218
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.7826300859451294,0.7090208530426025,0.7385145425796509,0.8151754140853882,0.8541502952575684,0.8342078924179077
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8067527413368225,0.8909633159637451,0.8445082902908325,0.9399424195289612,0.9846873879432678,0.9617947936058044
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7820310592651367,0.7094284892082214,0.738523006439209,0.8146569132804871,0.854587197303772,0.8341444730758667
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.807938277721405,0.8869974613189697,0.8437069058418274,0.9406998157501221,0.9826740622520447,0.9612289071083069
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.7849705815315247,0.70765620470047,0.7387142777442932,0.8173647522926331,0.8513051271438599,0.8339897990226746
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.807490885257721,0.8868768215179443,0.8433059453964233,0.9414571523666382,0.9822218418121338,0.9614076018333435
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7932640910148621,0.7076640129089355,0.7428818345069885,0.8381175398826599,0.8459540605545044,0.8420175909996033
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8072269558906555,0.886033296585083,0.8428401947021484,0.9411541819572449,0.9826045632362366,0.9614328145980835
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7922550439834595,0.70774245262146,0.7424278259277344,0.8374313712120056,0.846874475479126,0.8421264290809631
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.810386061668396,0.8854820132255554,0.8445689678192139,0.941684365272522,0.9814507961273193,0.96115642786026
11,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test_ext,0.7941570281982422,0.7059848308563232,0.7421279549598694,0.8384606838226318,0.8448375463485718,0.8416370153427124
12,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test,0.8090072274208069,0.8867829442024231,0.8441585302352905,0.9419872760772705,0.9816890358924866,0.9614284634590149
13,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test_ext,0.7947812676429749,0.6973591446876526,0.7376308441162109,0.8378733992576599,0.8255892395973206,0.8316859602928162
14,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test,0.8081619739532471,0.8848240375518799,0.842856764793396,0.9426689147949219,0.9810829758644104,0.9614924192428589
15,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test_ext,0.7953583002090454,0.6970034837722778,0.73773193359375,0.8397619128227234,0.8237341642379761,0.8316708207130432
16,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test,0.8114155530929565,0.8851791620254517,0.8449934720993042,0.9428203701972961,0.9798504710197449,0.9609788060188293
17,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test_ext,0.7960553169250488,0.6942367553710938,0.736121416091919,0.8401625156402588,0.8231567144393921,0.8315727114677429
18,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test,0.8095663785934448,0.8804333209991455,0.8419467806816101,0.9435777068138123,0.9776365160942078,0.9603052139282227
19,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test_ext,0.8041408061981201,0.6880499124526978,0.7356714010238647,0.8505350351333618,0.8043021559715271,0.8267727494239807
20,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test,0.8096325397491455,0.8817147016525269,0.8424129486083984,0.9446380138397217,0.9762072563171387,0.9601631760597229
21,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test_ext,0.8049139380455017,0.6875378489494324,0.7357559204101562,0.8532249331474304,0.8020117878913879,0.8268260955810547
22,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test,0.811532735824585,0.8813214898109436,0.8434548377990723,0.9433504939079285,0.9780918955802917,0.9604071378707886
23,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test_ext,0.80622398853302,0.6878369450569153,0.736211359500885,0.8496578931808472,0.805745005607605,0.8271190524101257
24,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,mix,test,0.8103601336479187,0.8777444362640381,0.8412187099456787,0.9445622563362122,0.9754418730735779,0.9597537517547607
25,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,mix,test_ext,0.7994393110275269,0.6840450167655945,0.7308154106140137,0.8472903370857239,0.8098074793815613,0.828125
26,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,active,test,0.8092321753501892,0.8823840618133545,0.8424322605133057,0.9445622563362122,0.9755181670188904,0.9597907066345215
27,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,active,test_ext,0.7982367873191833,0.6861544847488403,0.7318354845046997,0.8471172451972961,0.8109840154647827,0.8286569118499756
28,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,random,test,0.8127558827400208,0.8797760605812073,0.8434922695159912,0.9437291622161865,0.9778702259063721,0.9604964256286621
29,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,random,test_ext,0.8012516498565674,0.6848586797714233,0.7318631410598755,0.8433658480644226,0.813098132610321,0.8279554843902588
30,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,mix,test,0.810124397277832,0.8790595531463623,0.8416444063186646,0.9443350434303284,0.9765821099281311,0.9601879119873047
31,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,mix,test_ext,0.8034396767616272,0.6926528215408325,0.7377316951751709,0.8429079055786133,0.813748836517334,0.8280717730522156
32,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,active,test,0.8091318607330322,0.8845925331115723,0.8432831764221191,0.9441078305244446,0.9771890044212341,0.9603636264801025
33,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,active,test_ext,0.8022469282150269,0.6948130130767822,0.7388007640838623,0.8439399003982544,0.8145197033882141,0.82896888256073
34,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,random,test,0.8136523365974426,0.8751263618469238,0.8421037197113037,0.9443350434303284,0.9769646525382996,0.960372805595398
35,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,random,test_ext,0.8071063160896301,0.6888874769210815,0.7363623380661011,0.8417612910270691,0.8136776685714722,0.8274812698364258
36,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,mix,test,0.809499979019165,0.8851274847984314,0.8437036275863647,0.9440321326255798,0.9786449074745178,0.9610269665718079
37,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,mix,test_ext,0.7989754676818848,0.6807145476341248,0.7285811901092529,0.8323931097984314,0.7876403331756592,0.8093985915184021
38,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,active,test,0.8096893429756165,0.8855154514312744,0.8438933491706848,0.9448651671409607,0.9757547378540039,0.9600615501403809
39,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,active,test_ext,0.8004615902900696,0.6804629564285278,0.7291473150253296,0.8370456695556641,0.7846589684486389,0.8100062012672424
40,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,random,test,0.8153537511825562,0.8736803531646729,0.8424694538116455,0.9448651671409607,0.9759073853492737,0.9601354598999023
41,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,random,test_ext,0.8063138723373413,0.6733132600784302,0.7259519100189209,0.8339052200317383,0.782867431640625,0.8075807690620422
42,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,mix,test,0.8115622997283936,0.8824283480644226,0.8437502980232239,0.944789469242096,0.9772050976753235,0.9607239365577698
43,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,mix,test_ext,0.7941006422042847,0.6741948127746582,0.7218704223632812,0.8255254030227661,0.7880078554153442,0.8063304424285889
44,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,active,test,0.8095104098320007,0.8868296146392822,0.8443377017974854,0.9448651671409607,0.9774365425109863,0.9608749151229858
45,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,active,test_ext,0.7921265363693237,0.6769651174545288,0.7232531309127808,0.8270517587661743,0.7882721424102783,0.8071964979171753
46,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,random,test,0.8173844814300537,0.87400883436203,0.8437632322311401,0.945168137550354,0.9759148955345154,0.9602954983711243
47,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,random,test_ext,0.7998315095901489,0.6671768426895142,0.718906581401825,0.8246448040008545,0.783435583114624,0.8035121560096741
48,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,mix,test,0.8119295835494995,0.8839162588119507,0.8444937467575073,0.9455468058586121,0.9750859141349792,0.9600892066955566
49,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,mix,test_ext,0.7922465205192566,0.6660288572311401,0.7153234481811523,0.8190436363220215,0.7750507593154907,0.7964401841163635
50,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,active,test,0.8104636669158936,0.886703372001648,0.8447964787483215,0.9456982612609863,0.9757755994796753,0.960501492023468
51,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,active,test_ext,0.7905787229537964,0.6704186797142029,0.7181094884872437,0.8224421739578247,0.7775648236274719,0.7993741035461426
52,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,random,test,0.8179898858070374,0.874139130115509,0.8441567420959473,0.9453195929527283,0.9761476516723633,0.9604862928390503
53,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,random,test_ext,0.7983946800231934,0.6591516137123108,0.7123464941978455,0.8145719170570374,0.7729124426841736,0.7931955456733704
54,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,mix,test,0.8109136819839478,0.8857059478759766,0.8446108102798462,0.9460012316703796,0.9754783511161804,0.9605136513710022
55,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,mix,test_ext,0.7867780923843384,0.6746273040771484,0.7192851305007935,0.8117216229438782,0.7696226239204407,0.7901117205619812
56,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,active,test,0.8097195625305176,0.8892214298248291,0.8453966379165649,0.9449409246444702,0.9771321415901184,0.9607669711112976
57,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,active,test_ext,0.7843160033226013,0.6816807985305786,0.7228202819824219,0.8091574907302856,0.7773151397705078,0.7929167747497559
