,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8072196245193481,0.8879566192626953,0.8436526656150818,0.9403210878372192,0.9842251539230347,0.9617723226547241
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.78336101770401,0.7081155180931091,0.738245964050293,0.8156939744949341,0.8533027768135071,0.8340746164321899
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8067711591720581,0.8902202248573303,0.8442457318305969,0.9400181770324707,0.9846886396408081,0.9618350267410278
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7822405695915222,0.7096039056777954,0.738734245300293,0.8150026202201843,0.8548464775085449,0.8344491720199585
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.807938277721405,0.8869974613189697,0.8437069058418274,0.9406998157501221,0.9826740622520447,0.9612289071083069
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.7850551605224609,0.7077128887176514,0.7387990951538086,0.8177104592323303,0.8510523438453674,0.834048330783844
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.807152271270752,0.8860498666763306,0.8428090810775757,0.9408512711524963,0.9826768040657043,0.9613093137741089
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7925857305526733,0.7080617547035217,0.7427936792373657,0.8368023633956909,0.8473653793334961,0.8420507311820984
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8072069883346558,0.8866548538208008,0.8430519700050354,0.9410784840583801,0.9822148680686951,0.9612067341804504
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7922393083572388,0.7073879241943359,0.742190420627594,0.837374210357666,0.8468655943870544,0.8420931696891785
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.8103686571121216,0.885363757610321,0.8445121645927429,0.9416086077690125,0.9817593097686768,0.9612649083137512
